Transcript,Confidence,Label
"I will tell you. Is this Mr. Lee Dong-ho, a 42-year-old man? This is the Seoul Metropolitan Police Agency, Cyber Crime Investigation Unit. Please listen to what I have to say about Mr. Lee Dong-ho, a 42-year-old man. The investigation team recently studied the financial fraud group, which has seven members, and they had a main operator. These individuals are currently using fake accounts with stolen identities, including accounts at Kookmin Bank and Nonghyup Bank. Thatâs why Iâm contacting you for verification. Are you aware of Kookmin Bank? Where do you sell or rent them? Are you not a participant? They are currently using accounts under your name, so I need to check about this. I will tell you that there has been no loss since around March 2015, and I will explain everything, so please listen until the end. The bank account has been used as a fake account for five days, and they lost 60 million won during the day. There are currently about 30 members involved in this case, some of whom have sold their accounts for money, and some are victims of personal information leakage. From the prosecutor's office's perspective, this case involves individuals selling accounts for money. Do you understand? Please listen to my explanations. They used your real account to deposit money after attending three sessions, and 20 million won was taken by the voice phishing scheme by the Lee Dong-ho fraud group. Now that you have checked, you are considered a co-conspirator and in the process of reporting this. Now, whether this incident around 10 o'clock is a problem or a victim due to information leakage, I will first conduct a preliminary investigation with a call recording. The call content will be recorded entirely, and it will serve as evidence for the investigation. I ask for honest answers to my questions. Are you currently moving? Is this at your home or work, or are you driving? The reason Iâm mentioning this is that if a third party's voice is recognized during the recording, please keep quiet since both of you will be here later. I will start recording now. This is a one-on-one telephone recording investigation regarding the case of identity theft at number 2733. I am an investigator from the Cyber Crime Investigation Unit of the Seoul Metropolitan Police Agency. Did you arrive? You said you donât know Lee Dong-wook. On March 2, 2015, around 2:30 PM, was there a fact of opening an account at Nonghyup Bank in Songpa-dong, Songpa-gu, Seoul? You said there wasn't. The next day, March 3, 2015, around 1:40 PM, was there an account at Kookmin Bank in Yeoksam-dong, Gangnam-gu, Seoul? You said there wasnât. Can you sell or transfer your bankbook to others? Have you seen any funds being deposited or withdrawn that you don't know about? You said you don't remember. Have you ever lost your identification certificate like a resident registration card, driver's license, or passport in the past year? You said no. Do you have relationships with Kookmin Bank or Nonghyup Bank? You said none, just Nonghyup. Do you use internet banking, telephone banking, or smart banking? You said no to all three. Do you receive transaction details via text message? Is everything you've said up until now true? I want to reiterate that this incident is big in scale; when apprehended, it could involve 8 billion won. Did you receive any information about more than 40,000 leaked accounts from Nonghyup and Kookmin last year? You mentioned that your personal information leakage led to opening a fake account, suggesting that there may be more illicit transactions with other banks as well. Our urgent procedure now is to track the accounts to prevent further harm. Do you have anything else to say? Should I continue speaking? From now on, we will check if you are a victim through account inquiries. If you are innocent, we will disclose that. If you are currently using your account, it should have been suspended from all financial transactions as of today. If there are still transactions available, we will put a temporary halt on them for a minimum of seven days or up to three months during our investigation. Have you completed your statements? I understand that this might cause inconvenience in your life, but in this case, you can apply for the Depositor Protection Act. If it involves the Depositor Protection Act, it covers amounts less than 5 million won. Do you currently hold more than 5 million won in assets? Please tell me the approximate amount you have with the relevant financial institutions. I will relay this to my company when I arrive. Please divide your cash and liquid funds accordingly. We need to apply for the Depositor Protection Act, but amounts under 5 million won cannot be processed. For amounts over 5 million won, we will be able to process it. Who can you reach out to regarding the available liquid funds right now? Hello, this is the Seoul Metropolitan Police Agency. Is this not you? Where are you?",0.8815882205963135 0.8800960183143616 0.896109402179718 0.899770975112915 0.8975628018379211 0.9088073968887329 0.8807706832885742 0.9104812741279602 0.8839390873908997,1
"I'm sorry if I can provide the password. I will tell you. 2016 Korean survey 4318 Lee Min-soo financial fraud case. Last week, as I studied, I will connect right away with the kids from the Seoul Central District Prosecutor's Office's violent crimes unit, waking them up in Incheon at 9 o'clock. I will send it to you. Do you have the name for compensation? Since it's 6:30, did you come out of Nonghyup? Didnât you open a bank account directly on the uphill road? Because Myung-hee is quietly afraid, it could be possible to receive compensation for personal information leakage damage. I didnât open a bank account and grow it myself. You said you were doing business with Nonghyup Bank, but Iâm wondering how much is left since the last time you were there, drinking little by little on Seotan-ro.",0.8251654505729675 0.8934804797172546 0.8893634676933289,1
"The first suicide is about how it happens. During the auction market, it is a case of being deceived into thinking that fast items are being sold on such internet portal sites. What I want to emphasize is that now among the quizzes, if Samsung is mentioned or if there is noise at home, it will proceed around 11 o'clock, becoming really loud. If by any chance your father feels scared and it is significant, Article 256 and 132 of the Penal Code, which are related to obstruction of public duty, can be added. Are there no direct accounts with Nonghyup and Kookmin Bank in Myeong-dong, Yeongdeungpo-gu, Seoul? For now, I will manage the affairs on our side using the Nonghyup and Kookmin Bank accounts under my name. In reality, from the account under T's name, there are 36 million won in Kookmin Bank and 8.7 million won in Nonghyup, totaling 44.07 million won involved in illegal activities in this case.",0.9177321195602417 0.827046275138855,1
"Is this related to the initial privacy protection law regarding this incident? It doesn't ask for bank account numbers or passwords. Please let me know. Is it correct that you know an 81-year-old man from Jeollado named Kim Eung-cheol? Can money be transferred to a Woori Bank or Hana Bank account at the Cheolsan branch in Gwangmyeong, Gyeonggi-do on August 16, 2016? Do you have it? Did you know that a bank account opened in your name has been used for criminal activities? The account is currently in a suspended state. Do you know about the freeze processing email? Kim Myung-soon and eight others are registered as illegal fraud managers due to the design of the absinthe, which is why the Financial Supervisory Service has currently taken measures to prevent financial transactions. Do you understand? It is a request to stop payment, and we did it at that time. Hello!",0.9044715166091919 0.9236595630645752,1
"Hello, yes? Hello? Is this OOO customer? Yes, that's right. Hello, this is Assistant Manager Kim Go-eun from Hyundai Capital's payment department. Yes, hello. Yes, hello. I contacted you a bit late regarding the remittance issue, is it convenient for you to talk now? No, I was waiting. Oh, you were waiting? I would like to quickly verify your personal information, could you please confirm just the first part of your birth date? Yes, OOOOOO. Yes, is the mobile phone you are using registered under your name? Yes. Yes, your current mobile phone is verified as LG Uplus, is that correct? Ah, yes, that's correct. Yes, I just need you to confirm your account number that you received the funds in. Yes, êµ­ë¯¼ìí (Kookmin Bank). Yes, OOO. Yes, that's right. You set up automatic transfers to the same account at Kookmin Bank, and your payment date is designated as the 11th of every month, correct? Yes, thatâs right. Yes, the approved funding amount is 23 million won. The interest rate is 8.8%, and if you pay over five years, the total monthly payment including principal and interest will be 470,512 won. However, it has slightly increased now, and you will receive 7 million won. The interest rate remains 8.8%. The amount you will be paying, including principal and interest, is 557,858 won. Yes, I understand. Yes, this has no changes from what you were informed, right? Yes. I appreciate your personal information verification. Currently, the remittance time is a bit delayed, so I will reserve your remittance. The time you will receive it is from 19:00 to 20:00. Yes. Your queue number is currently fifth to sixth, and if you do not receive the remittance today, it will be sent tomorrow morning between 9:00 and 10:30. Yes. If for some reason todayâs remittance is not possible, I would appreciate your understanding, and you can receive the funds directly tomorrow morning. Yes. If the funds don't come today, would we need to make another call tomorrow? Ah, you would need to call the person in charge again tomorrow morning, and then the funds will just be confirmed right away. So there's no chance that the funds wonât come in tomorrow morning, right? Right. However, I'm mentioning this just to prepare for contingencies, and even if an employee is still present, if the system closes, we won't be able to take any action, so I hope you can understand that. Yes. You've mentioned that you can't complete the electronic signature, right? Yes. Well, for the electronic signature, please call the person in charge and they will assist you in recording the conversation while you receive the funds, so yes, you can do that with the person in charge tomorrow morning. Yes, I understand. Is there anything else youâre curious about? No, so we have currently scheduled the remittance. Am I right? That's correct. I have scheduled the remittance now, and the time is set between 19:00 and 20:00. Yes, I understand, thank you for your hard work. Yes, Customer, youâve worked hard, and please be kind to the person in charge as they have also been running around a lot. I plan to meet them when I go to Seoul. Oh, really? Once the process is completed, it would be good to have a meal together to strengthen your connection. Yes, that's a very good idea. Yes, I will inform the person in charge to contact you, so please let them know you have been informed. The person in charge is still waiting without finishing work. I understand. Yes, thank you for your hard work, Customer. Yes, thank you, this was Kim Go-eun.",,1
"The testing will be conducted by region once the contract is finalized. Yes. If you register today, the test results for the metropolitan area will typically be available by around 3 to 4 PM tomorrow. Yes. And we will finalize the contract before around 7 PM this evening. I will go ahead and start the registration now. You have confirmed your bank account, right? Yes. Could you please provide me with your account number? It's OOOOOOOOOOOOOO. Yes, is it 7? Yes, I will confirm that. Is OOOOOOOOOOOOOO correct? Yes. What is your password? It's OOOO. OOOO, right? Yes, could you please confirm your name? OOOOOOO. Yes. Please confirm the first six digits of your date of birth. OOOOOO. Now, I will be sending the driver. Yes. Could you please confirm the address where the driver will go? OOOOOO OOOOOO OOOOOO. Is there no separate multi-family villa number or anything? If you let me know when the driver arrives, Iâ¦ I will handle it properly in between. Yes, and as you know, customer, items related to finance such as cards or cash accounts are prohibited for shipping, so we will ensure it appears as if itâs not a card. We will send it through our driver to our representative. Yes. It needs to be packed in a box as if it is not a card, so you need to send it that way. Yes. If I explain how to pack the box, if you have a sneaker box, that would be great. Yes, I have one. Oh, great. It can be smaller or larger, but that size is appropriate. Yes. If you have a sneaker box, please ensure that the magnetic part of the check card or the IC chip does not get damaged. You can use something like a book, magazine, or newspaper that you donât need to protect it inside. Yes. To prevent it from being too light and raising suspicion, you can fill the empty space in the box with newspapers or maybe other items you can throw away, like a rag or clothes. If you fill it well, it won't raise suspicion. Ah, yes. To show it as an item, please fill it adequately, and then wrap the box tightly with packing tape. Yes. So no one else can open it easily, and only our representative can receive it and open it right away. How much time do you think it will take to pack the box? It can be done right away. Then, after you pack it, please give me a call. Yes. I also need to contact the quick service office now. Yes. Once you register, I will prepare it for shipping. The reason for that is I need to gauge the exterior condition of the box and the weight of the contents, even if it's roughly, so that I can classify the item, for example, by type when placing the order. If you register without specifying an item, they won't accept the registration. Yes. The office side will not accept it, so please pack it first and then Iâll call you again. Understood. Yes, thank you. Yes.",,1
"I will definitely go with Hyun-jin and live nationwide. There is a case worth about 2 million won. That hasn't been resolved yet. So I'm reaching out to check on your feelings. I'm contacting you to see if you are the representative and whether you are selling the bank account. If you are not this person, I need to verify if you are a victim. The Busan case is connected not only to civilians but also to all employees of the agency. So now, since other employees are quite busy, when it comes to opening a bank account without your own name, frankly, we can confirm that when you think of it like that, we can send the building's training center delay price list, which should be registered. You can come directly to our Seoul Central District Prosecutorâs Office. Since we cannot conduct a forced investigation, I mention this, and you are free to receive it. If Kim Hyun-cheol, who is sitting as a real estate agent for the 36th session, can help you, that would be good. Yes, it's June 13, 2017. You have no affiliation at the Suwon branch. Have you had any services like this while using a communication company? You will need to continuously verify and then bring a copy of your ID or passport. I will maintain some information about the financial institution you opened continuously. You can just let me know. Please conduct a search for credit reports or financial background checks. Itâs okay whether you use it or not.",0.8956789970397949 0.900303840637207 0.8004591464996338,1
"The Financial Investigation Team 2 of the Supreme Prosecutors' Office is Investigator Park Sang-ho. I'm contacting you a bit late to confirm regarding the personal information leak case. Are you available for a brief call? Do you happen to know a man named Kim Cheol-jung? Not at all? I'm the one who studied the allegations of operating illegal gambling sites this time. Fake bank accounts from three financial sectorsâNonghyup, Kookmin Bank, and Saemaul Geumgoâwere found on site under my name. We had requested a suspension for what you did. Since you are not available, I'm contacting you to confirm about the personal information leak case.",0.878456056,1
"For now, I think you can visit the nearest Woori Bank, and it seems to be a mistake. I see that the call records indicate I have to wait a bit. Do you have an Android or an iPhone at my office now? Please go to the settings and block cellular data. Yes, since the call records and text records are currently being ordered, if our data is turned on, an error can occur. So when you arrive, please block the Wi-Fi, and let me know when you can block it. Yes, you have added a date and Wi-Fi. Please let me know the time for blocking. At 3:18, you will now execute call records and text records. If you are here, you should provide the call records and text records, but an error may occur. How is your phone battery percentage right now? 50%?",0.9115750789642334 0.8362127542495728,1
"Sure, is it NH Nonghyup or KB Kookmin? In the case of NH Nonghyup Bank, what was the purpose for which you opened the account for the formation of the loan? For example, was it for savings subscription, overdraft account, free deposit and withdrawal, or something else? Is it the case that only a free deposit account was set up? What is the interest rate for the salary account? Besides this, is there anything else available at NH Nonghyup? You only have one NH Nonghyup account, and what about Kookmin Bank, do you have two savings accounts there? So a total of three at Kookmin Bank, if that's the case. Do you have any accounts in the second financial sector, like savings banks or CMA accounts under your name? None of those? There are people who thought they had 100,000 won in their account, but actually, a larger amount came in, causing them losses. What is the last balance you had in a transaction with the bank? Can you briefly tell me how much money is in your account? For example, if itâs about 1 million won, just say 1 million won; if itâs less than that, like 5 million won, say 5 million won; if itâs 45 million won, then just say 10 million won or 100,000 won, please provide a brief index.",0.8899213075637817 0.916527509689331,1
"Thank you for your efforts. This is the Seoul Central District Prosecutor's Office. Yes, I am Investigator Lee Jin-ho from the 10 Million Crime Investigation Team. Yes, I am calling regarding the personal information leakage case to confirm a few things. Is this a good time to talk? Yes, I'll just ask a few questions. Do you know someone named Moon Hee-gyeong? No, I don't know who that is. Have you heard of them through an acquaintance? No, I haven't. You don't know them at all? No. Let me briefly explain the case first. Yes, recently our investigation team apprehended a financial crime scam group centered around Moon Hee-gyeong. Yes, a large number of check cards and fake bank accounts were found at the scene of the arrest. Yes, we also seized two bank accounts in the name of Kim Eun-jung. Yes, when we checked, they were issued in Gwangmyeong-si, Gyeonggi-do, at one-hour intervals. Do you have any information regarding these two accounts? No, you didnât personally open them? Yes, they are accounts from our bank and Hana Bank. The investigation team apprehended a financial crime scam group centered around Moon Hee-gyeong. Yes, at the time of the arrest, large amounts of check cards, fake bank accounts, and copied ID cards were seized, and among those items, we have now seized two bank accounts in the name of OOO. Yes, we confirmed they were issued in Gwangmyeong-si, Gyeonggi-do, and opened on August 14, 2015. Are these two accounts opened by you? I donât know. Were they opened last year? No, I will call the police to confirm. It's not the police; please call the prosecutor's office. Yes, based on our overall investigation, OOO does not have any similar previous convictions, and their debts are clear, so there doesn't seem to be any primary points for negotiation. Yes, however, our prosecutor's investigation cannot classify it as a victim solely based on one suspicion. Yes, thatâs why an investigation regarding the victim's perspective will take place. Yes, this investigation is being conducted because there aren't any primary negotiation points found from you, and if any points are discovered later, you will need to appear in person at our district prosecutor's office at that time for questioning. Yes, understood. You have understood, right? Yes, and the overall process of the victim's perspective investigation will be recorded. This recording will serve as evidence submitted to the court on your behalf, so if there are any background noises or if your voice or a third party's voice gets mixed in, it could hamper the effectiveness of the evidence. The recording will not be anything special; it will just include the questions I asked earlier. Yes, this is part of the investigation procedure, so please cooperate well. The recording will consist of the questions I asked earlier. It will be recorded, and once the call is finished, I will connect you to the responsible prosecutor. You will need to check the official documents related to you, and they will explain the case in more detail. They will explain how it happened and how you should respond. Do you understand? Yes, I am available to talk now. Yes, yes, yes, please step aside for a moment; it seems you are at work. Please answer the phone. Then, we'll quickly proceed with the recording first. Can I do it too? No, since it's a shared recording phone, there might be issues with the receiver. Oh, really? But... Yes, I wonât be asking anything too complicated. I will go ahead and record.",,1
"It's not a case of identity theft. Now, I can't provide you with the phone number of the assistant to confirm whether you are a victim of this incident. It's 02-530-3114. Here it's like this, it's room 507, and it's Kim Gi-baek's planning. When will you call? I was on duty. Alright, understood. Thank you for your efforts.",0.915496051,1
"Ah, yes, this is your customer service representative. They are currently on another call, so I... Oh, they were on a call? Yes, that's why we have been trying to reach you. You've contacted us quite a few times, about five times. Yes, that's correct. I checked the system, and it shows that everything has been approved by the review department. It seems like you want to cancel. Ah, you're canceling? So this means you are canceling on your own, right? Yes. I understand. For now, I will send the cancellation notice to the debt management side, but since this will be classified as a self-cancellation, it is not a rejection; therefore, the refund process will take about one to two weeks at the minimum. Yes, I see. So at the shortest, it will take about a week. Yes, around a week. I didn't hear that at first... If this were classified as a rejection on our side, then that would be the case, but this is considered your own cancellation. Yes. It's not a rejection; we've completed all the approval processing on our side. Ah, but if it reached the approval processing, and then there was a rejection, it would have been immediate... Yes, that's right. If there was a rejection, the refund would have been processed immediately. That's not the case; we have all the approval processing done, but since you are canceling on your own... Yes. Will the refund come under the name I used for the deposit? Which one? The refund process. Ah, regarding the refund, since you provided the account where you received the loan amount, the refund will be processed into that account. It will be sent from... who is sending it? That will be handled by the company, Sanwa. Ah, that concerns the payment processing, but since we have the payment certificate on our side, we will need to process that with the respective financial company. So thatâs how it works. Can I delete the app? If you are canceling, you can delete it without any problem. Ah... or if you are planning to proceed, we've received a request for an additional repayment certificate. Yes, I can't do that right now. I see. Yes. I hope it can be done as quickly as possible. Yes, I will make a quick request for you. If I delete the app, it seems like the calls wonât reach that number, the representative. No, that's not the case; it will not affect that. Please proceed with that, and I will call you back in ten minutes. Yes.",,1
"That's right, I have a big problem in 2014. The media was also talking about what happened. Is there anyone using Lotte Department Store? It works in the financial sector.",0.773738742,1
"The financial crime fraud group centered around Moon Hee-kyung has been apprehended by the investigation team. On the scene, they had a check card, fake identification, and bank account agreements. Among the seized items, there was also a bankbook in someone else's name. We have now confirmed that it was found in Gwangmyeong City, Gyeonggi Province, and it dates back to August 14, 2015. Itâs a bank account from Woori Bank and Hana Bank. Did you personally open the bank account? I don't know. You got married last year. I'll check... No, please call the prosecutor's office.",0.8828850388526917 0.8879887461662292 0.9236595630645752 0.8236505389213562,1
"The identity theft incident has now changed the environment of our prosecution office. I confirmed a few things, can you talk? Are you the one asking me to come to Gimcheon? You have no affiliations with Gwangju, Jeolla-do, and if I may ask, why is that a question? We have caught one of the main culprits of the financial fraud gang. On our side, but the issue with the credit cards and illegal bank accounts found at the scene is that one of those accounts was illegally established on site. It was at the Industrial Bank of Korea.",0.875828683,1
